iterations,fitness,time,samples,keep,m,trial
320,50.0,6.420289775,100,50,0.3,1
330,45.0,6.594338773,100,50,0.3,1
340,47.0,6.761240481,100,50,0.3,1
350,45.0,6.938232021,100,50,0.3,1
360,46.0,7.112424307,100,50,0.3,1
370,45.0,7.32179094,100,50,0.3,1
380,46.0,7.528617213,100,50,0.3,1
390,46.0,7.713893793,100,50,0.3,1
400,45.0,7.91990918,100,50,0.3,1
410,46.0,8.104192572,100,50,0.3,1
420,45.0,8.302941432,100,50,0.3,1
430,50.0,8.479703042,100,50,0.3,1
440,50.0,8.679442506,100,50,0.3,1
450,47.0,8.857293507,100,50,0.3,1
460,56.0,9.026455744,100,50,0.3,1
470,52.0,9.214172082,100,50,0.3,1
480,55.0,9.402452183,100,50,0.3,1
490,51.0,9.595691162,100,50,0.3,1
500,51.0,9.787571045,100,50,0.3,1
510,53.0,9.967296353,100,50,0.3,1
520,51.0,10.229575019,100,50,0.3,1
530,48.0,10.485354898,100,50,0.3,1
540,51.0,10.659539662,100,50,0.3,1
550,52.0,10.83383481,100,50,0.3,1
560,55.0,11.13359933,100,50,0.3,1
570,51.0,11.341608642,100,50,0.3,1
580,51.0,11.611885183,100,50,0.3,1
590,56.0,11.81169774,100,50,0.3,1
600,54.0,11.983000208,100,50,0.3,1
610,51.0,12.171698147,100,50,0.3,1
620,54.0,12.470390698,100,50,0.3,1
630,55.0,12.698265198,100,50,0.3,1
640,56.0,12.869285357,100,50,0.3,1
650,51.0,13.072262669,100,50,0.3,1
660,51.0,13.269265989,100,50,0.3,1
670,54.0,13.439744719,100,50,0.3,1
680,51.0,13.6240372,100,50,0.3,1
690,53.0,13.823703545,100,50,0.3,1
700,52.0,14.012865512,100,50,0.3,1
710,54.0,14.185479817,100,50,0.3,1
720,54.0,14.369365019,100,50,0.3,1
730,54.0,14.538181295,100,50,0.3,1
740,54.0,14.721023617,100,50,0.3,1
750,51.0,14.924001509,100,50,0.3,1
760,51.0,15.124468924,100,50,0.3,1
770,52.0,15.316944219,100,50,0.3,1
780,51.0,15.494483072,100,50,0.3,1
790,51.0,15.669979552,100,50,0.3,1
800,52.0,15.882661329,100,50,0.3,1
810,54.0,16.064154526,100,50,0.3,1
820,54.0,16.243296664,100,50,0.3,1
830,54.0,16.469641176,100,50,0.3,1
840,52.0,16.667654944,100,50,0.3,1
850,52.0,16.841898652,100,50,0.3,1
860,51.0,17.023263967,100,50,0.3,1
870,54.0,17.266660869,100,50,0.3,1
880,51.0,17.441007751,100,50,0.3,1
890,51.0,17.618943299,100,50,0.3,1
900,54.0,17.813855144,100,50,0.3,1
910,51.0,18.018010828,100,50,0.3,1
920,51.0,18.229626676,100,50,0.3,1
930,51.0,18.439447291,100,50,0.3,1
940,52.0,18.633977063,100,50,0.3,1
950,54.0,18.808838209,100,50,0.3,1
960,51.0,19.160185977,100,50,0.3,1
970,53.0,19.418213077,100,50,0.3,1
980,51.0,19.588020021,100,50,0.3,1
990,51.0,19.781714566,100,50,0.3,1
1000,52.0,19.945163047,100,50,0.3,1
1010,51.0,20.104776305,100,50,0.3,1
1020,54.0,20.283181305,100,50,0.3,1
1030,52.0,20.457269663,100,50,0.3,1
1040,54.0,20.659371751,100,50,0.3,1
1050,52.0,20.83457065,100,50,0.3,1
1060,52.0,21.031935146,100,50,0.3,1
1070,52.0,21.22277703,100,50,0.3,1
1080,54.0,21.389673306,100,50,0.3,1
1090,51.0,21.549607423,100,50,0.3,1
